"","HR","LL","UL","pval","label"
"mom1",1.09730295081176,1.03581117015546,1.16244524151972,0.00160090364751074,"mom1"
"mom2",0.852672822146242,0.673838237360583,1.07896955280349,0.184479431089538,"mom2"
"mom3",1.06517125908516,0.486366985592473,2.33278541675468,0.874574450185254,"mom3"
"mom4",1.09594881580634,0.529549165914948,2.26816296611866,0.804996043713623,"mom4"
"age",1.02663459565284,1.01484640424758,1.03855971561796,0.00000815590639541669,"age"
"pixelcount",1.01580220689191,0.983387885993287,1.04928496499042,0.343354388581415,"pixelcount"
"stageII",1.05156788775299,0.727726968116365,1.519519093013,0.788913581752314,"stageII"
"stageIIIa",1.71234988620596,1.29504795941081,2.26411856910963,0.000160536175807373,"stageIIIa"
"stageIIIb",1.45768161418574,1.10810010060223,1.91754850232425,0.00706686545152999,"stageIIIb"
"stageIV",1.92464890654054,0.605810379980475,6.11457567558862,0.266928391277215,"stageIV"
