"","HR","LL","UL","pval","label"
"mom1",1.01975997534749,1.00816485545171,1.03148845320024,0.000797471094440554,"mom1"
"mom2",1.00447223773397,0.987820564583811,1.0214046078332,0.600842552432585,"mom2"
"mom3",0.992806984883072,0.952791545734363,1.03450299663702,0.730904857066499,"mom3"
"mom4",0.98537335493463,0.914388739676964,1.06186855380366,0.699296549518817,"mom4"
"age",1.01773095915235,1.00651679106099,1.02907007058007,0.00187723170755368,"age"
"pixelcount",1.01624571131316,1.00107585060846,1.03164544937797,0.0357208359986165,"pixelcount"
"stageII",1.24896249891463,0.883902330709628,1.76479602949199,0.207548071445969,"stageII"
"stageIIIa",1.69503989417851,1.30400649766441,2.203332765598,0.0000802448870390066,"stageIIIa"
"stageIIIb",1.62552434373049,1.27206135446306,2.07720278804929,0.000102949636172295,"stageIIIb"
"stageIV",1.27925331312131,0.406307782324905,4.02770783706826,0.673857275148918,"stageIV"
