"","filtration","features","survival_group"
"1",0,2,"surv25"
"2",0.001,3,"surv25"
"3",0.002,5,"surv25"
"4",0.003,7,"surv25"
"5",0.004,10,"surv25"
"6",0.005,12,"surv25"
"7",0.006,14,"surv25"
"8",0.007,17,"surv25"
"9",0.008,20,"surv25"
"10",0.009,23,"surv25"
"11",0.01,26,"surv25"
"12",0.011,29,"surv25"
"13",0.012,32,"surv25"
"14",0.013,35,"surv25"
"15",0.014,37,"surv25"
"16",0.015,43,"surv25"
"17",0.016,48,"surv25"
"18",0.017,53,"surv25"
"19",0.018,58,"surv25"
"20",0.019,62,"surv25"
"21",0.02,67,"surv25"
"22",0.021,72,"surv25"
"23",0.022,79,"surv25"
"24",0.023,82,"surv25"
"25",0.024,92,"surv25"
"26",0.025,95,"surv25"
"27",0.026,98,"surv25"
"28",0.027,101,"surv25"
"29",0.028,108,"surv25"
"30",0.029,109,"surv25"
"31",0.03,115,"surv25"
"32",0.031,132,"surv25"
"33",0.032,139,"surv25"
"34",0.033,147,"surv25"
"35",0.034,151,"surv25"
"36",0.035,155,"surv25"
"37",0.036,162,"surv25"
"38",0.037,176,"surv25"
"39",0.038,181,"surv25"
"40",0.039,201,"surv25"
"41",0.04,204,"surv25"
"42",0.041,213,"surv25"
"43",0.042,228,"surv25"
"44",0.043,238,"surv25"
"45",0.044,258,"surv25"
"46",0.045,273,"surv25"
"47",0.046,283,"surv25"
"48",0.047,291,"surv25"
"49",0.048,279,"surv25"
"50",0.049,286,"surv25"
"51",0.05,275,"surv25"
"52",0.051,269,"surv25"
"53",0.052,273,"surv25"
"54",0.053,281,"surv25"
"55",0.054,306,"surv25"
"56",0.055,320,"surv25"
"57",0.056,342,"surv25"
"58",0.057,347,"surv25"
"59",0.058,351,"surv25"
"60",0.059,351,"surv25"
"61",0.06,357,"surv25"
"62",0.061,362,"surv25"
"63",0.062,370,"surv25"
"64",0.063,396,"surv25"
"65",0.064,417,"surv25"
"66",0.065,412,"surv25"
"67",0.066,399,"surv25"
"68",0.067,431,"surv25"
"69",0.068,447,"surv25"
"70",0.069,461,"surv25"
"71",0.07,489,"surv25"
"72",0.071,490,"surv25"
"73",0.072,491,"surv25"
"74",0.073,505,"surv25"
"75",0.074,518,"surv25"
"76",0.075,511,"surv25"
"77",0.076,531,"surv25"
"78",0.077,520,"surv25"
"79",0.078,528,"surv25"
"80",0.079,538,"surv25"
"81",0.08,548,"surv25"
"82",0.081,562,"surv25"
"83",0.082,569,"surv25"
"84",0.083,574,"surv25"
"85",0.084,584,"surv25"
"86",0.085,602,"surv25"
"87",0.086,612,"surv25"
"88",0.087,609,"surv25"
"89",0.088,604,"surv25"
"90",0.089,601,"surv25"
"91",0.09,613,"surv25"
"92",0.091,631,"surv25"
"93",0.092,628,"surv25"
"94",0.093,617,"surv25"
"95",0.094,617,"surv25"
"96",0.095,624,"surv25"
"97",0.096,626,"surv25"
"98",0.097,620,"surv25"
"99",0.098,656,"surv25"
"100",0.099,665,"surv25"
"101",0.1,671,"surv25"
"102",0.101,668,"surv25"
"103",0.102,684,"surv25"
"104",0.103,683,"surv25"
"105",0.104,684,"surv25"
"106",0.105,685,"surv25"
"107",0.106,683,"surv25"
"108",0.107,685,"surv25"
"109",0.108,674,"surv25"
"110",0.109,676,"surv25"
"111",0.11,671,"surv25"
"112",0.111,675,"surv25"
"113",0.112,695,"surv25"
"114",0.113,698,"surv25"
"115",0.114,703,"surv25"
"116",0.115,714,"surv25"
"117",0.116,719,"surv25"
"118",0.117,715,"surv25"
"119",0.118,705,"surv25"
"120",0.119,702,"surv25"
"121",0.12,708,"surv25"
"122",0.121,709,"surv25"
"123",0.122,705,"surv25"
"124",0.123,701,"surv25"
"125",0.124,715,"surv25"
"126",0.125,717,"surv25"
"127",0.126,715,"surv25"
"128",0.127,709,"surv25"
"129",0.128,710,"surv25"
"130",0.129,715,"surv25"
"131",0.13,711,"surv25"
"132",0.131,720,"surv25"
"133",0.132,709,"surv25"
"134",0.133,704,"surv25"
"135",0.134,705,"surv25"
"136",0.135,700,"surv25"
"137",0.136,699,"surv25"
"138",0.137,728,"surv25"
"139",0.138,730,"surv25"
"140",0.139,721,"surv25"
"141",0.14,733,"surv25"
"142",0.141,742,"surv25"
"143",0.142,749,"surv25"
"144",0.143,763,"surv25"
"145",0.144,774,"surv25"
"146",0.145,770,"surv25"
"147",0.146,768,"surv25"
"148",0.147,769,"surv25"
"149",0.148,773,"surv25"
"150",0.149,771,"surv25"
"151",0.15,770,"surv25"
"152",0.151,777,"surv25"
"153",0.152,778,"surv25"
"154",0.153,783,"surv25"
"155",0.154,787,"surv25"
"156",0.155,777,"surv25"
"157",0.156,779,"surv25"
"158",0.157,776,"surv25"
"159",0.158,773,"surv25"
"160",0.159,775,"surv25"
"161",0.16,782,"surv25"
"162",0.161,779,"surv25"
"163",0.162,775,"surv25"
"164",0.163,779,"surv25"
"165",0.164,780,"surv25"
"166",0.165,776,"surv25"
"167",0.166,773,"surv25"
"168",0.167,775,"surv25"
"169",0.168,771,"surv25"
"170",0.169,770,"surv25"
"171",0.17,769,"surv25"
"172",0.171,774,"surv25"
"173",0.172,772,"surv25"
"174",0.173,770,"surv25"
"175",0.174,770,"surv25"
"176",0.175,768,"surv25"
"177",0.176,761,"surv25"
"178",0.177,767,"surv25"
"179",0.178,764,"surv25"
"180",0.179,773,"surv25"
"181",0.18,770,"surv25"
"182",0.181,762,"surv25"
"183",0.182,764,"surv25"
"184",0.183,772,"surv25"
"185",0.184,773,"surv25"
"186",0.185,776,"surv25"
"187",0.186,782,"surv25"
"188",0.187,782,"surv25"
"189",0.188,781,"surv25"
"190",0.189,791,"surv25"
"191",0.19,791,"surv25"
"192",0.191,786,"surv25"
"193",0.192,785,"surv25"
"194",0.193,788,"surv25"
"195",0.194,793,"surv25"
"196",0.195,792,"surv25"
"197",0.196,789,"surv25"
"198",0.197,791,"surv25"
"199",0.198,788,"surv25"
"200",0.199,785,"surv25"
"201",0.2,783,"surv25"
"202",0.201,782,"surv25"
"203",0.202,778,"surv25"
"204",0.203,776,"surv25"
"205",0.204,776,"surv25"
"206",0.205,775,"surv25"
"207",0.206,775,"surv25"
"208",0.207,772,"surv25"
"209",0.208,771,"surv25"
"210",0.209,773,"surv25"
"211",0.21,772,"surv25"
"212",0.211,768,"surv25"
"213",0.212,769,"surv25"
"214",0.213,772,"surv25"
"215",0.214,771,"surv25"
"216",0.215,764,"surv25"
"217",0.216,767,"surv25"
"218",0.217,769,"surv25"
"219",0.218,764,"surv25"
"220",0.219,763,"surv25"
"221",0.22,760,"surv25"
"222",0.221,756,"surv25"
"223",0.222,752,"surv25"
"224",0.223,750,"surv25"
"225",0.224,749,"surv25"
"226",0.225,755,"surv25"
"227",0.226,754,"surv25"
"228",0.227,752,"surv25"
"229",0.228,753,"surv25"
"230",0.229,756,"surv25"
"231",0.23,761,"surv25"
"232",0.231,761,"surv25"
"233",0.232,763,"surv25"
"234",0.233,759,"surv25"
"235",0.234,755,"surv25"
"236",0.235,756,"surv25"
"237",0.236,756,"surv25"
"238",0.237,752,"surv25"
"239",0.238,754,"surv25"
"240",0.239,755,"surv25"
"241",0.24,749,"surv25"
"242",0.241,750,"surv25"
"243",0.242,749,"surv25"
"244",0.243,745,"surv25"
"245",0.244,741,"surv25"
"246",0.245,741,"surv25"
"247",0.246,743,"surv25"
"248",0.247,744,"surv25"
"249",0.248,741,"surv25"
"250",0.249,736,"surv25"
"251",0.25,735,"surv25"
"252",0.251,733,"surv25"
"253",0.252,735,"surv25"
"254",0.253,735,"surv25"
"255",0.254,732,"surv25"
"256",0.255,733,"surv25"
"257",0.256,738,"surv25"
"258",0.257,741,"surv25"
"259",0.258,739,"surv25"
"260",0.259,739,"surv25"
"261",0.26,736,"surv25"
"262",0.261,736,"surv25"
"263",0.262,731,"surv25"
"264",0.263,732,"surv25"
"265",0.264,726,"surv25"
"266",0.265,723,"surv25"
"267",0.266,723,"surv25"
"268",0.267,721,"surv25"
"269",0.268,722,"surv25"
"270",0.269,720,"surv25"
"271",0.27,718,"surv25"
"272",0.271,712,"surv25"
"273",0.272,706,"surv25"
"274",0.273,703,"surv25"
"275",0.274,704,"surv25"
"276",0.275,705,"surv25"
"277",0.276,701,"surv25"
"278",0.277,702,"surv25"
"279",0.278,701,"surv25"
"280",0.279,702,"surv25"
"281",0.28,698,"surv25"
"282",0.281,701,"surv25"
"283",0.282,700,"surv25"
"284",0.283,700,"surv25"
"285",0.284,701,"surv25"
"286",0.285,698,"surv25"
"287",0.286,707,"surv25"
