"","HR","LL","UL","pval","label"
"mom1",1.09730295086061,1.03581117014949,1.16244524162992,0.00160090365430841,"mom1"
"mom2",0.852672821867423,0.673838236796172,1.0789695530016,0.184479431141146,"mom2"
"mom3",1.06517126056694,0.486366985102046,2.33278542559731,0.874574447825252,"mom3"
"mom4",1.09594881413947,0.529549163577079,2.26816296923276,0.804996047645748,"mom4"
"age",1.02663459565432,1.01484640425015,1.03855971561833,0.00000815590637011264,"age"
"pixelcount",1.0158022069107,0.983387886109718,1.04928496490502,0.343354386525373,"pixelcount"
"stageII",1.05156788763764,0.727726967750171,1.51951909344428,0.788913582422194,"stageII"
"stageIIIa",1.71234988621869,1.2950479590649,2.26411856974806,0.000160536178162319,"stageIIIa"
"stageIIIb",1.45768161414712,1.10810010027854,1.91754850278277,0.00706686551086416,"stageIIIb"
"stageIV",1.92464890655923,0.605810379269667,6.11457568288166,0.266928391759635,"stageIV"
"stage0",0.000000149006283462697,0,Inf,0.988723349775591,"stage0"
